epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1864.13,1.18857,0.91696,1.45453,0.86789,0.8709,0.9251,0.62132,1.17507,0.66601,1.38273,0.00956935,0.00956935,0.00956935
89,1884.87,1.18553,0.91546,1.45925,0.87914,0.86398,0.92234,0.6198,1.21155,0.67788,1.38618,0.0095644,0.0095644,0.0095644
90,1906.72,1.18797,0.94135,1.44223,0.83796,0.89174,0.92179,0.65149,1.1312,0.6478,1.36568,0.00955945,0.00955945,0.00955945
91,1927.57,1.18527,0.91641,1.43676,0.87741,0.86777,0.9273,0.63828,1.19448,0.66682,1.40327,0.0095545,0.0095545,0.0095545
92,1948.72,1.19244,0.94807,1.45337,0.84348,0.86022,0.91062,0.64426,1.10568,0.71408,1.36809,0.00954955,0.00954955,0.00954955
93,1970.08,1.18377,0.91976,1.43849,0.86326,0.86146,0.92259,0.65745,1.11669,0.66375,1.34865,0.0095446,0.0095446,0.0095446
94,1991.34,1.18358,0.92675,1.44827,0.84225,0.87661,0.91896,0.63656,1.14406,0.68393,1.36829,0.00953965,0.00953965,0.00953965
95,2012.79,1.18579,0.89801,1.43227,0.85453,0.87537,0.92636,0.64953,1.1241,0.66165,1.35074,0.0095347,0.0095347,0.0095347
96,2033.52,1.16309,0.90083,1.42738,0.85338,0.90695,0.93575,0.63313,1.17343,0.64043,1.38024,0.00952975,0.00952975,0.00952975
97,2055.07,1.17575,0.91312,1.44003,0.84176,0.90646,0.93706,0.64737,1.14153,0.63361,1.35657,0.0095248,0.0095248,0.0095248
98,2075.48,1.15875,0.87722,1.42868,0.87032,0.87158,0.93501,0.65794,1.07438,0.63578,1.3265,0.00951985,0.00951985,0.00951985
99,2097.01,1.19701,0.90376,1.44398,0.85692,0.90189,0.93855,0.63126,1.195,0.61638,1.40274,0.0095149,0.0095149,0.0095149
100,2117.89,1.1715,0.89987,1.4326,0.88021,0.87703,0.94279,0.63563,1.18462,0.61618,1.39262,0.00950995,0.00950995,0.00950995
101,2139.09,1.17502,0.89439,1.43074,0.91497,0.86693,0.94122,0.66395,1.13342,0.61828,1.36685,0.009505,0.009505,0.009505
102,2159.98,1.16197,0.88821,1.42027,0.85369,0.91698,0.93187,0.65784,1.12847,0.66997,1.35874,0.00950005,0.00950005,0.00950005
103,2180.74,1.16225,0.89013,1.41119,0.83744,0.91484,0.93415,0.64758,1.16652,0.62273,1.36911,0.0094951,0.0094951,0.0094951
104,2202.22,1.16984,0.87295,1.42212,0.86153,0.87469,0.91778,0.6619,1.08575,0.64768,1.32231,0.00949015,0.00949015,0.00949015
105,2222.57,1.17494,0.90578,1.43226,0.81487,0.91316,0.92506,0.66188,1.10217,0.64528,1.33335,0.0094852,0.0094852,0.0094852
106,2244.33,1.17604,0.89628,1.43282,0.8638,0.87279,0.92521,0.65537,1.13003,0.65271,1.35532,0.00948025,0.00948025,0.00948025
107,2265.12,1.16789,0.90309,1.42069,0.84308,0.91303,0.93182,0.68577,1.09039,0.62205,1.32551,0.0094753,0.0094753,0.0094753
108,2286.12,1.18953,0.90599,1.44953,0.8671,0.89044,0.93185,0.64365,1.1911,0.65968,1.3873,0.00947035,0.00947035,0.00947035
109,2307.04,1.16593,0.91053,1.42532,0.87343,0.90562,0.93188,0.65934,1.1208,0.60557,1.34448,0.0094654,0.0094654,0.0094654
110,2328.73,1.18332,0.8835,1.44552,0.86804,0.87767,0.9338,0.65089,1.13197,0.6215,1.34847,0.00946045,0.00946045,0.00946045
111,2349.42,1.16715,0.89094,1.43053,0.90155,0.85528,0.9291,0.66031,1.12056,0.61078,1.35204,0.0094555,0.0094555,0.0094555
112,2370.75,1.17433,0.90652,1.44588,0.89876,0.88919,0.94202,0.65465,1.17482,0.6171,1.37942,0.00945055,0.00945055,0.00945055
113,2392.16,1.1789,0.92592,1.43066,0.85914,0.8917,0.93576,0.66042,1.14915,0.64826,1.36314,0.0094456,0.0094456,0.0094456
114,2413.07,1.20348,0.91235,1.4519,0.86393,0.92041,0.94196,0.67446,1.08954,0.62952,1.33504,0.00944065,0.00944065,0.00944065
